Fecha,Super 95,Super 95 Sin imp.,Diesel,Diesel Sin imp.,Diesel Cal.,Diesel Cal. Sin imp.,Año
2005-12-19,0.98,0.44,0.92,0.49,0.57,0.41,2005
2005-12-12,0.98,0.44,0.92,0.49,0.56,0.4,2005
2005-12-05,0.96,0.42,0.9,0.47,0.57,0.41,2005
2005-11-28,0.96,0.42,0.91,0.48,0.58,0.41,2005
2005-11-21,0.98,0.44,0.93,0.5,0.59,0.43,2005
2005-11-14,0.99,0.45,0.95,0.52,0.6,0.44,2005
2005-11-07,1.0,0.46,0.96,0.53,0.63,0.46,2005
2005-10-24,1.03,0.49,0.97,0.54,0.65,0.47,2005
2005-10-17,1.05,0.5,0.97,0.54,0.66,0.48,2005
2005-10-10,1.06,0.52,0.97,0.54,0.65,0.47,2005
2005-10-03,1.06,0.52,0.97,0.54,0.65,0.47,2005
2005-09-26,1.07,0.52,0.97,0.54,0.63,0.46,2005
2005-09-19,1.07,0.52,0.97,0.54,0.64,0.47,2005
2005-09-12,1.09,0.54,0.97,0.54,0.61,0.46,2005
2005-09-05,1.1,0.55,0.98,0.55,0.63,0.46,2005
2005-08-29,1.04,0.5,0.96,0.53,0.62,0.45,2005
2005-08-22,1.03,0.49,0.95,0.52,0.6,0.44,2005
2005-08-15,1.02,0.47,0.93,0.5,0.55,0.42,2005
2005-08-08,1.02,0.47,0.93,0.5,0.55,0.42,2005
2005-08-01,1.01,0.47,0.93,0.5,0.58,0.42,2005
2005-07-25,1.0,0.46,0.93,0.5,0.6,0.43,2005
2005-07-18,1.0,0.46,0.94,0.51,0.6,0.43,2005
2005-07-11,1.0,0.46,0.94,0.51,0.57,0.42,2005
2005-07-04,0.98,0.44,0.92,0.5,0.58,0.42,2005
2005-06-27,0.98,0.44,0.92,0.49,0.58,0.41,2005
2005-06-20,0.96,0.43,0.91,0.48,0.56,0.4,2005
2005-06-13,0.95,0.41,0.89,0.47,0.51,0.37,2005
2005-06-06,0.93,0.4,0.87,0.45,0.51,0.36,2005
2005-05-30,0.93,0.4,0.86,0.44,0.5,0.34,2005
2005-05-23,0.93,0.4,0.86,0.44,0.51,0.35,2005
2005-05-16,0.93,0.4,0.86,0.44,0.51,0.35,2005
2005-05-09,0.94,0.4,0.87,0.45,0.49,0.34,2005
2005-05-02,0.94,0.41,0.88,0.46,0.52,0.37,2005
2005-04-25,0.94,0.41,0.89,0.46,0.54,0.38,2005
2005-04-18,0.93,0.4,0.89,0.46,0.55,0.39,2005
2005-04-11,0.92,0.39,0.88,0.46,0.53,0.38,2005
2005-04-04,0.92,0.39,0.87,0.45,0.54,0.38,2005
2005-03-21,0.9,0.38,0.86,0.45,0.52,0.37,2005
2005-03-14,0.9,0.38,0.86,0.44,0.5,0.36,2005
2005-03-07,0.9,0.38,0.86,0.44,0.47,0.33,2005
2005-02-28,0.89,0.36,0.84,0.42,0.47,0.32,2005
2005-02-21,0.89,0.36,0.82,0.41,0.46,0.32,2005
2005-02-14,0.88,0.36,0.82,0.4,0.46,0.32,2005
2005-02-07,0.87,0.35,0.81,0.4,0.47,0.32,2005
2005-01-31,0.86,0.34,0.81,0.4,0.46,0.31,2005
2005-01-24,0.85,0.33,0.81,0.4,0.45,0.3,2005
2005-01-17,0.84,0.33,0.81,0.4,0.45,0.3,2005
2005-01-10,0.84,0.32,0.81,0.4,0.45,0.3,2005
2005-01-03,0.84,0.32,0.81,0.4,0.49,0.33,2005
2006-12-18,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-12-11,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-12-04,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-11-27,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-11-20,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-11-13,0.96,0.42,0.91,0.48,0.58,0.41,2006
2006-11-06,0.95,0.41,0.91,0.48,0.59,0.42,2006
2006-10-30,0.96,0.42,0.92,0.49,0.6,0.43,2006
2006-10-23,0.96,0.42,0.92,0.49,0.59,0.42,2006
2006-10-16,0.97,0.43,0.92,0.49,0.58,0.42,2006
2006-10-09,0.97,0.43,0.92,0.49,0.58,0.42,2006
2006-10-02,0.98,0.43,0.93,0.49,0.59,0.42,2006
2006-09-25,0.99,0.45,0.94,0.51,0.59,0.43,2006
2006-09-18,1.01,0.46,0.95,0.52,0.62,0.45,2006
2006-09-11,1.03,0.48,0.98,0.54,0.64,0.47,2006
2006-09-04,1.06,0.51,0.99,0.55,0.64,0.47,2006
2006-08-28,1.08,0.52,1.0,0.56,0.66,0.48,2006
2006-08-21,1.11,0.55,1.0,0.56,0.66,0.48,2006
2006-08-14,1.13,0.56,1.01,0.57,0.65,0.48,2006
2006-08-07,1.14,0.57,1.01,0.56,0.64,0.47,2006
2006-07-31,1.14,0.57,1.0,0.56,0.65,0.47,2006
2006-07-24,1.14,0.57,1.0,0.56,0.65,0.47,2006
2006-07-17,1.13,0.57,1.0,0.56,0.66,0.48,2006
2006-07-10,1.11,0.55,0.99,0.55,0.65,0.48,2006
2006-07-03,1.1,0.54,0.98,0.55,0.64,0.47,2006
2006-06-26,1.09,0.53,0.98,0.54,0.65,0.47,2006
2006-06-19,1.09,0.54,0.99,0.55,0.65,0.47,2006
2006-06-12,1.09,0.53,0.98,0.54,0.65,0.47,2006
2006-06-05,1.08,0.53,0.98,0.54,0.64,0.46,2006
2006-05-29,1.09,0.53,0.99,0.55,0.64,0.47,2006
2006-05-22,1.09,0.53,0.99,0.55,0.65,0.48,2006
2006-05-15,1.1,0.54,1.0,0.56,0.66,0.48,2006
2006-05-08,1.1,0.54,1.0,0.56,0.66,0.48,2006
2006-05-01,1.09,0.54,1.0,0.56,0.65,0.47,2006
2006-04-24,1.08,0.53,0.99,0.55,0.63,0.46,2006
2006-04-10,1.05,0.5,0.97,0.53,0.62,0.45,2006
2006-04-03,1.04,0.49,0.96,0.53,0.61,0.44,2006
2006-03-27,1.02,0.47,0.96,0.52,0.61,0.44,2006
2006-03-20,1.02,0.47,0.95,0.52,0.61,0.44,2006
2006-03-13,1.0,0.46,0.95,0.52,0.61,0.44,2006
2006-03-06,1.0,0.45,0.94,0.51,0.6,0.44,2006
2006-02-27,1.0,0.46,0.95,0.51,0.59,0.43,2006
2006-02-20,0.98,0.44,0.94,0.51,0.6,0.43,2006
2006-02-13,1.0,0.46,0.94,0.51,0.61,0.44,2006
2006-02-06,1.01,0.46,0.94,0.51,0.61,0.44,2006
2006-01-30,1.01,0.46,0.94,0.51,0.61,0.44,2006
2006-01-23,1.0,0.46,0.94,0.5,0.6,0.43,2006
2006-01-16,1.0,0.46,0.93,0.5,0.58,0.42,2006
2006-01-09,0.99,0.45,0.93,0.49,0.58,0.42,2006
2007-12-17,1.1,0.54,1.06,0.61,0.73,0.55,2007
